decade,airplane_damage,month,make,model,nature,accident_country,phase,total_occupants,total_fatalities,total_survivors
1900,Damaged beyond repair,3,Antonov,12,Military,Eritrea,Landing ,0,0,0
1900,Damaged beyond repair,3,Antonov,12,Military,Oman,Unknown ,0,0,0
1900,Damaged beyond repair,3,Antonov,12,Military,Russia,Unknown ,0,0,0
1900,Damaged beyond repair,3,Antonov,12,Military,Unknown,Unknown ,0,0,0
1900,Damaged beyond repair,3,Antonov,12,Unknown,Russia,En route ,0,0,0
1900,Damaged beyond repair,3,Antonov,12,Unknown,Russia,Unknown ,0,0,0
1900,Damaged beyond repair,3,Antonov,26,0,Libya,Unknown ,0,0,0
1900,Damaged beyond repair,3,Antonov,26,Military,Russia,Landing ,0,0,0
1900,Damaged beyond repair,3,Antonov,26,Unknown,Russia,Unknown ,0,0,0
1900,Damaged beyond repair,3,Antonov,28,-,Poland,Standing ,0,0,0
1900,Damaged beyond repair,3,Antonov,28,Unknown,Poland,Standing ,0,0,0
1900,Damaged beyond repair,3,Antonov,28,Unknown,Unknown,Unknown ,0,0,0
1900,Damaged beyond repair,3,Antonov,32,Military,India,Unknown ,0,0,0
1900,Damaged beyond repair,3,Antonov,24 ?,Military,Russia,Unknown ,0,0,0
1900,Damaged beyond repair,3,Avia,14,-,Bulgaria,Standing ,0,0,0
1900,Damaged beyond repair,3,Britten-Norman,BN-2A Islander,Unknown,Unknown,Unknown ,0,0,0
1900,Damaged beyond repair,3,Britten-Norman,BN-2A-21 Islander,Military,Mauritania,Unknown ,0,0,0
1900,Damaged beyond repair,3,Britten-Norman,BN-2A-21 Islander,Military,Unknown,Unknown ,0,0,0
1900,Damaged beyond repair,3,Britten-Norman,BN-2A-8 Islander,Unknown,Unknown,Unknown ,0,0,0
1900,Damaged beyond repair,3,Britten-Norman,BN-2A-8 Islander,Unknown,Unknown country,Unknown ,0,0,0
1900,Damaged beyond repair,3,Douglas,C-47A-80-DL (DC-3),Unknown,Brazil,Unknown ,0,0,0
1900,Damaged beyond repair,3,Fairchild,C-82A-15-FA Packet,Cargo,Honduras,Takeoff ,0,0,0
1900,Damaged beyond repair,3,Grumman,G-159 Gulfstream I,Unknown,Kenya,Landing ,0,0,0
1900,Damaged beyond repair,3,Ilyushin,14,Unknown,Antarctica,Takeoff ,0,0,0
1900,Damaged beyond repair,3,Ilyushin,62M,Unknown,Latvia,Taxi ,0,0,0
1900,Damaged beyond repair,3,Ilyushin,76M,Military,Russia,Landing ,0,0,0
1900,Damaged beyond repair,3,Ilyushin,76M,Military,Unknown,Unknown ,0,0,0
1900,Damaged beyond repair,3,IRMA/Britten-Norman,BN-2A-21 Islander,Unknown,Unknown,Unknown ,0,0,0
1900,Damaged beyond repair,3,IRMA/Britten-Norman,BN-2A-8 Islander,Unknown,Unknown,Unknown ,0,0,0
1900,Damaged beyond repair,3,Let,L-410T,Military,Libya,Unknown ,0,0,0
1900,Damaged beyond repair,3,Let,L-410UVP,Unknown,Honduras,Unknown ,0,0,0
1900,Damaged beyond repair,3,Super,Avia 14,Unknown,Bulgaria,Unknown ,0,0,0
1900,Substantial,3,Antonov,12,Unknown,Russia,Unknown ,0,0,0
1910,Destroyed,3,Caproni,Ca.48,Passenger,Italy,En route ,14,14,0
1920,Damaged beyond repair,4,Aeromarine,75,-,Cuba,Standing ,0,0,0
1920,Damaged beyond repair,4,Aeromarine,75,International Scheduled Passenger,Atlantic Ocean,En route ,9,4,5
1920,Damaged beyond repair,4,Bl€÷riot,155,International Scheduled Passenger,United Kingdom,En route ,22,11,11
1920,Damaged beyond repair,4,Caproni,Ca.60 Noviplano,Test,Italy,Initial climb ,1,0,1
1920,Damaged beyond repair,4,Curtiss,B-2 Condor (Condor 18),Military,United States of America,Unknown ,4,1,3
1920,Damaged beyond repair,4,de Havilland Canada,DHC-8-202Q,International Scheduled Passenger,Iran,Landing ,5,3,2
1920,Damaged beyond repair,4,Dornier,Do 128-6 Turbo Skyservant,-,Italy,Standing ,0,0,0
1920,Damaged beyond repair,4,Farman,F.180T,-,France,Standing ,0,0,0
1920,Damaged beyond repair,4,Farman,F.60 Goliath,-,Belgium,Standing ,0,0,0
